duration_hours,start_forecast_hour,end_forecast_hour,valid_start_utc,valid_end_utc,message_count,variables,grib2,grib2_sha256,sidecar,sidecar_sha256,inventory,inventory_sha256,size_bytes
6,0,6,2026-09-18T12:00:00Z,2026-09-18T18:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f00_f06/hrrr_2026091812_f00_f06_gnncsgd_6h_core.grib2,3bfc2cc3e078951c9bde2969d849b7a57b1ed88cc2d96ccf9f7bf3f4bd0c40bd,6h/f00_f06/hrrr_2026091812_f00_f06_gnncsgd_6h_core.grib2.json,0d1406371e2fed2b7351ca3da149cc02ce14789710a63990476afc0e1efc350f,6h/f00_f06/wgrib2_inventory.txt,ce0afe91352a2bbdfd99918f03cb12eb7095c9b6863ddbc0bd03c7666a8faa58,219342
6,6,12,2026-09-18T18:00:00Z,2026-09-19T00:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f06_f12/hrrr_2026091812_f06_f12_gnncsgd_6h_core.grib2,b2662fbc194cc614651d1c9ca501b9abd12ff1ecda247db4b6a879d3a979427b,6h/f06_f12/hrrr_2026091812_f06_f12_gnncsgd_6h_core.grib2.json,da34847bb1409735cb3fe61735c6af2bb9dea02cc0dbbbc3cc5786086c8b3b97,6h/f06_f12/wgrib2_inventory.txt,e102c9487916453b7c412bc901a8662b042e102c1f82754b676f09fb2099bfe9,219342
6,12,18,2026-09-19T00:00:00Z,2026-09-19T06:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f12_f18/hrrr_2026091812_f12_f18_gnncsgd_6h_core.grib2,6a3ff89644e7e33e96359cee978dfcdb366eee9ec8e350ae4ffee627878f13cc,6h/f12_f18/hrrr_2026091812_f12_f18_gnncsgd_6h_core.grib2.json,de38cc6e651179fc4e7d89f808d11e709790b175d8ecc4a4000d6b62c1ea471f,6h/f12_f18/wgrib2_inventory.txt,f690e9d89fabff12454dda58d0d8d579bf5454b6ec0c972e3fc390df335ec8dc,219342
6,18,24,2026-09-19T06:00:00Z,2026-09-19T12:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f18_f24/hrrr_2026091812_f18_f24_gnncsgd_6h_core.grib2,923b5061fbc86913525ee282731e88ae25d120837efe3e4f3e9e006e203e334e,6h/f18_f24/hrrr_2026091812_f18_f24_gnncsgd_6h_core.grib2.json,ee8dec75a032174c274a1520a836b9fea4028d085a81398bffdde792bcc1f43f,6h/f18_f24/wgrib2_inventory.txt,b804510f38c2fed3e84d2753dc875d2456903600c827971a1fe282fee5014de5,219342
6,24,30,2026-09-19T12:00:00Z,2026-09-19T18:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f24_f30/hrrr_2026091812_f24_f30_gnncsgd_6h_core.grib2,0f35aed99266928482d1f70ca1940c3c106f70d150194d3b805a9cabd0ba6833,6h/f24_f30/hrrr_2026091812_f24_f30_gnncsgd_6h_core.grib2.json,7ec1469448d88a8b82dc4f7919f54da7e53a3c89dcadbc20342636d874489d43,6h/f24_f30/wgrib2_inventory.txt,18310193fea47c0309d23d20d31a65d32c0e0f16d0a4daeb7b317ec4d52cbd62,219342
6,30,36,2026-09-19T18:00:00Z,2026-09-20T00:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f30_f36/hrrr_2026091812_f30_f36_gnncsgd_6h_core.grib2,1239f885680ea0aea864a09c5ebbf7bf651162dda15decace8722bad402927d8,6h/f30_f36/hrrr_2026091812_f30_f36_gnncsgd_6h_core.grib2.json,57176146f3d77b12a38d84b0e3d4e2fc46f1ec8dae929a793bfe80eb7ca64a14,6h/f30_f36/wgrib2_inventory.txt,b56600c2184ec6575eb64094125584513df251f2863da011fe71ddf0813838f0,219342
6,36,42,2026-09-20T00:00:00Z,2026-09-20T06:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f36_f42/hrrr_2026091812_f36_f42_gnncsgd_6h_core.grib2,86fccebce58b7540735ac50d400102540dd5623e870f1da871196d4bd860ba1a,6h/f36_f42/hrrr_2026091812_f36_f42_gnncsgd_6h_core.grib2.json,0187d962ebef323ddf9bcfa71fd3a28556597fb1a287bec6ca82b02fde1f8ba3,6h/f36_f42/wgrib2_inventory.txt,99aba8d20cbb28440226fe6a86f5976e02dbdbd5fda9253e2d118a619223b87e,219342
6,42,48,2026-09-20T06:00:00Z,2026-09-20T12:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f42_f48/hrrr_2026091812_f42_f48_gnncsgd_6h_core.grib2,e43e27077e4bd1c3947e756d3dda69076826457607b9e4fe0426e8d76c8d3bf6,6h/f42_f48/hrrr_2026091812_f42_f48_gnncsgd_6h_core.grib2.json,5553344e0d51e75024627147462662be8be770b4bdb021b99e5f43b2a9f10da9,6h/f42_f48/wgrib2_inventory.txt,7987f98807de25197e35ec2cd30c60f2bac2b232c38fd63748f228327a9039ac,219342
12,0,12,2026-09-18T12:00:00Z,2026-09-19T00:00:00Z,5,expected_precip_mm;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent;prob_gt_3inch_percent,12h/f00_f12/hrrr_2026091812_f00_f12_gnncsgd_12h_core.grib2,c905f55c9b2bc018ac8611a0c29258a267c0a22c8eb7d38e4266b139becb6d03,12h/f00_f12/hrrr_2026091812_f00_f12_gnncsgd_12h_core.grib2.json,e529bd1f82cff295f0d188fe9a0b5db3d6326d67f80ff3df2c79ec9746632ddd,12h/f00_f12/wgrib2_inventory.txt,9766d23dfb62b426b9549964e4db6aca39b61e22452fb791c06404929b666638,219342
12,6,18,2026-09-18T18:00:00Z,2026-09-19T06:00:00Z,5,expected_precip_mm;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent;prob_gt_3inch_percent,12h/f06_f18/hrrr_2026091812_f06_f18_gnncsgd_12h_core.grib2,9852757bab3b0295983860c5a530071fb15b4f69991072dab00be3fe35d07747,12h/f06_f18/hrrr_2026091812_f06_f18_gnncsgd_12h_core.grib2.json,2bb293e630829aa54099dd7237ddebab6faa8a8ff94f1a201b5fd5163d5701c2,12h/f06_f18/wgrib2_inventory.txt,b4af64c1c953a044bb8afc86639c7cce84eeb8bbcf298020e58d8f3c70116af8,219342
