duration_hours,group,threshold_label,threshold_mm,n_samples,n_events,test_event_rate,validation_climatology,bs_validation_climatology,bs_raw_hrrr,bs_anncsgd,bs_gnncsgd,bss_raw_hrrr,bss_anncsgd,bss_gnncsgd,roc_auc_raw_hrrr,roc_auc_anncsgd,roc_auc_gnncsgd,auc_histogram_bins,gnn_minus_ann_bss,gnn_minus_ann_auc,bss_winner,auc_winner
6,overall,0.5in,12.7,38888560,392100,0.010082656699039513,0.010640104973178171,0.009981307481507167,0.0128571230202404,0.007515542230670845,0.0074507853161314965,-0.28812012294595557,0.24703830188627696,0.2535261207075413,0.666780035950968,0.9586261145862163,0.9644689850355677,10001,0.006487818821264368,0.0058428704493513894,GNN-CSGD,GNN-CSGD
6,overall,1in,25.4,38888560,103842,0.002670245439790005,0.002880515461633337,0.002663159442563372,0.004211521331723263,0.002299189593486381,0.002288573886896118,-0.5814003714586258,0.13666844097274888,0.14065457354168165,0.6080528456424312,0.9607231369832977,0.9658420299009056,10001,0.003986132568932765,0.00511889291760792,GNN-CSGD,GNN-CSGD
6,overall,2in,50.8,38888560,13030,0.0003350599765072299,0.000407948649143236,0.00033495302407797147,0.0006736685544540606,0.0003201444308655941,0.0003192448119042536,-1.0112329372409001,0.04421095541125852,0.04689676176818525,0.5493151987408114,0.9537414326178578,0.9588803484586923,10001,0.002685806356926723,0.005138915840834479,GNN-CSGD,GNN-CSGD
12,overall,0.5in,12.7,33987536,798054,0.023480784249849708,0.024628850728161535,0.02293075507750034,0.025075427650889433,0.014882723476897734,0.014722740398638695,-0.09352821423196156,0.35097106804386635,0.35794785872164103,0.7199831878359501,0.9628490924318236,0.9669270785791098,10001,0.00697679067777468,0.004077986147286161,GNN-CSGD,GNN-CSGD
12,overall,1in,25.4,33987536,249403,0.007338072403954203,0.008014433480096483,0.007284682561653849,0.00989339150681591,0.005575695585985334,0.005535358260584268,-0.3581088020079495,0.23460006132106892,0.24013734109402696,0.6621648384291979,0.9688240188728391,0.972236066682576,10001,0.005537279772958037,0.003412047809736918,GNN-CSGD,GNN-CSGD
12,overall,2in,50.8,33987536,38342,0.0011281194376667964,0.001383537140396098,0.0011269120224040225,0.0019431535136880766,0.0009921281619543222,0.0009868160931524545,-0.7243169609130444,0.11960459891284869,0.12431842634237211,0.6041892133930759,0.9707951127080725,0.9731214794733265,10001,0.004713827429523421,0.0023263667652539954,GNN-CSGD,GNN-CSGD
24,overall,0.5in,12.7,24238760,1240965,0.05119754475889031,0.052998619645469,0.04857960004029879,0.04746699088567237,0.028004153450436206,0.0276284457268645,0.022902805986534824,0.4235408807975858,0.43127473869802224,0.7552906727703095,0.9591989746857467,0.9617958988372989,10001,0.007733857900436458,0.0025969241515522157,GNN-CSGD,GNN-CSGD
24,overall,1in,25.4,24238760,460544,0.019000311897143254,0.020430275638902547,0.018641344841257276,0.022246435048657604,0.012714538174265775,0.0125713252602827,-0.1933921741215523,0.31793879237050604,0.32562133433315,0.7062259453289348,0.9666021721175413,0.9690367048752809,10001,0.007682541962643952,0.002434532757739638,GNN-CSGD,GNN-CSGD
24,overall,2in,50.8,24238760,86106,0.0035524094466878667,0.004263999489824257,0.00354029619420044,0.005361619158735843,0.002798375194587725,0.0027752381166881194,-0.5144549677846206,0.20956466886248049,0.21610001975699256,0.6556465321763622,0.9740383285274627,0.9759021993469083,10001,0.006535350894512071,0.0018638708194455011,GNN-CSGD,GNN-CSGD
