duration_hours,group,threshold_label,threshold_mm,model,bin_index,bin_lower,bin_upper,n_samples,mean_forecast_probability,observed_frequency
6,overall,2in,50.8,gnn_csgd,0,0.0,0.1,38878191,0.00032478945173714115,0.00028820785411543453
6,overall,2in,50.8,gnn_csgd,1,0.1,0.2,7894,0.1343526236424121,0.13377248543197365
6,overall,2in,50.8,gnn_csgd,2,0.2,0.3,1610,0.2410555195179045,0.25527950310559006
6,overall,2in,50.8,gnn_csgd,3,0.3,0.4,562,0.3420880692497267,0.3683274021352313
6,overall,2in,50.8,gnn_csgd,4,0.4,0.5,243,0.44627921362963235,0.4567901234567901
6,overall,2in,50.8,gnn_csgd,5,0.5,0.6,60,0.5274707684914272,0.6666666666666666
6,overall,2in,50.8,gnn_csgd,6,0.6,0.7,0,nan,nan
6,overall,2in,50.8,gnn_csgd,7,0.7,0.8,0,nan,nan
6,overall,2in,50.8,gnn_csgd,8,0.8,0.9,0,nan,nan
6,overall,2in,50.8,gnn_csgd,9,0.9,1.0,0,nan,nan
6,overall,2in,50.8,raw_hrrr,0,0.0,0.1,38872812,0.0,0.00030201056717996116
6,overall,2in,50.8,raw_hrrr,9,0.9,1.0,15748,1.0,0.08191516383032767
12,overall,0.5in,12.7,ann_csgd,0,0.0,0.1,31962014,0.005343827582899589,0.0056288693196868
12,overall,0.5in,12.7,ann_csgd,1,0.1,0.2,941410,0.14203027332377752,0.14323408504264878
12,overall,0.5in,12.7,ann_csgd,2,0.2,0.3,403352,0.2441771466575882,0.25415270037089194
12,overall,0.5in,12.7,ann_csgd,3,0.3,0.4,222388,0.3458035605179268,0.36200694282065576
12,overall,0.5in,12.7,ann_csgd,4,0.4,0.5,140255,0.4466523203342884,0.4770382517557306
12,overall,0.5in,12.7,ann_csgd,5,0.5,0.6,95998,0.5472705787404254,0.583855913664868
12,overall,0.5in,12.7,ann_csgd,6,0.6,0.7,71486,0.6479013748205366,0.6790560389446885
12,overall,0.5in,12.7,ann_csgd,7,0.7,0.8,56174,0.7479537265643774,0.7688254352547442
12,overall,0.5in,12.7,ann_csgd,8,0.8,0.9,45186,0.8484756889829428,0.8588722170583809
12,overall,0.5in,12.7,ann_csgd,9,0.9,1.0,49273,0.9564197005066808,0.9495464047246971
12,overall,1in,25.4,ann_csgd,0,0.0,0.1,33397391,0.002974330379297712,0.0030093069246037813
12,overall,1in,25.4,ann_csgd,1,0.1,0.2,332508,0.13917912921735065,0.14102517834157374
12,overall,1in,25.4,ann_csgd,2,0.2,0.3,114822,0.2433266246046391,0.2517461810454443
12,overall,1in,25.4,ann_csgd,3,0.3,0.4,55546,0.3450535714167039,0.3572714506895186
12,overall,1in,25.4,ann_csgd,4,0.4,0.5,32738,0.4461573910968816,0.4605351579204594
12,overall,1in,25.4,ann_csgd,5,0.5,0.6,20454,0.5466626876112978,0.5705974381539063
12,overall,1in,25.4,ann_csgd,6,0.6,0.7,13734,0.646820858982395,0.6847968545216252
12,overall,1in,25.4,ann_csgd,7,0.7,0.8,9167,0.7460764504459518,0.7738627686265954
12,overall,1in,25.4,ann_csgd,8,0.8,0.9,6324,0.8480445358532279,0.8545224541429475
12,overall,1in,25.4,ann_csgd,9,0.9,1.0,4852,0.9459005475093388,0.9492992580379225
12,overall,2in,50.8,ann_csgd,0,0.0,0.1,33928682,0.0008120303627533142,0.0007483049297346711
12,overall,2in,50.8,ann_csgd,1,0.1,0.2,39208,0.13722126274370608,0.14076208936951642
12,overall,2in,50.8,ann_csgd,2,0.2,0.3,10500,0.24152844567525955,0.27885714285714286
12,overall,2in,50.8,ann_csgd,3,0.3,0.4,4407,0.3441204544717232,0.3857499432720672
12,overall,2in,50.8,ann_csgd,4,0.4,0.5,2252,0.4455829396393964,0.5079928952042628
12,overall,2in,50.8,ann_csgd,5,0.5,0.6,1322,0.5449713046089063,0.5877458396369137
12,overall,2in,50.8,ann_csgd,6,0.6,0.7,674,0.6455746595512866,0.7255192878338279
12,overall,2in,50.8,ann_csgd,7,0.7,0.8,321,0.744894859389724,0.7632398753894081
12,overall,2in,50.8,ann_csgd,8,0.8,0.9,162,0.8396162022779017,0.8827160493827161
12,overall,2in,50.8,ann_csgd,9,0.9,1.0,8,0.9253450781106949,1.0
12,overall,0.5in,12.7,gnn_csgd,0,0.0,0.1,31965747,0.005338847467333719,0.005464724475232817
