duration_hours,threshold_mm,model,n_samples,n_events,cutoff,cutoff_label,true_positive,false_positive,false_negative,true_negative,hit_rate,false_positive_rate,area_under_displayed_curve,published_auc
6,25.4,ann_csgd,38888560,103842,0.2,0.2,24974,47170,78868,38737548,0.24049999036998518,0.0012162006695523738,0.69383901982235,0.9607231369832977
6,25.4,ann_csgd,38888560,103842,0.1,0.1,40597,147472,63245,38637246,0.3909497120625566,0.0038023223476834353,0.69383901982235,0.9607231369832977
6,25.4,ann_csgd,38888560,103842,0.0,0,103842,38784718,0,0,1.0,1.0,0.69383901982235,0.9607231369832977
6,25.4,gnn_csgd,38888560,103842,,No positive forecasts,0,0,103842,38784718,0.0,0.0,0.6943120308832937,0.9658420299009056
6,25.4,gnn_csgd,38888560,103842,0.9,0.9,83,1,103759,38784717,0.0007992912309084956,2.5783351061106078e-08,0.6943120308832937,0.9658420299009056
6,25.4,gnn_csgd,38888560,103842,0.8,0.8,688,114,103154,38784604,0.006625450203193313,2.939302020966093e-06,0.6943120308832937,0.9658420299009056
6,25.4,gnn_csgd,38888560,103842,0.7,0.7,1906,418,101936,38784300,0.018354808266404732,1.077744074354234e-05,0.6943120308832937,0.9658420299009056
6,25.4,gnn_csgd,38888560,103842,0.6,0.6,3529,1234,100313,38783484,0.033984322335856396,3.18166552094049e-05,0.6943120308832937,0.9658420299009056
6,25.4,gnn_csgd,38888560,103842,0.5,0.5,6114,3209,97728,38781509,0.058877910671982434,8.27387735550894e-05,0.6943120308832937,0.9658420299009056
6,25.4,gnn_csgd,38888560,103842,0.4,0.4,10122,7706,93720,38777012,0.09747501011151558,0.00019868650327688344,0.6943120308832937,0.9658420299009056
6,25.4,gnn_csgd,38888560,103842,0.3,0.3,15904,18183,87938,38766535,0.15315575585986402,0.00046881867234409183,0.6943120308832937,0.9658420299009056
6,25.4,gnn_csgd,38888560,103842,0.2,0.2,24693,44195,79149,38740523,0.23779395620269256,0.0011394952001455832,0.6943120308832937,0.9658420299009056
6,25.4,gnn_csgd,38888560,103842,0.1,0.1,40683,141995,63159,38642723,0.39177789333795576,0.0036611069339217575,0.6943120308832937,0.9658420299009056
6,25.4,gnn_csgd,38888560,103842,0.0,0,103842,38784718,0,0,1.0,1.0,0.6943120308832937,0.9658420299009056
6,50.8,raw_hrrr,38888560,13030,,No positive forecasts,0,0,13030,38875530,0.0,0.0,0.5493151987408114,0.5493151987408114
6,50.8,raw_hrrr,38888560,13030,1.0,1,1290,14458,11740,38861072,0.09900230237912509,0.00037190489750236203,0.5493151987408114,0.5493151987408114
6,50.8,raw_hrrr,38888560,13030,0.0,0,13030,38875530,0,0,1.0,1.0,0.5493151987408114,0.5493151987408114
6,50.8,ann_csgd,38888560,13030,,No positive forecasts,0,0,13030,38875530,0.0,0.0,0.5732447176242894,0.9537414326178578
6,50.8,ann_csgd,38888560,13030,0.9,0.9,0,0,13030,38875530,0.0,0.0,0.5732447176242894,0.9537414326178578
6,50.8,ann_csgd,38888560,13030,0.8,0.8,0,0,13030,38875530,0.0,0.0,0.5732447176242894,0.9537414326178578
6,50.8,ann_csgd,38888560,13030,0.7,0.7,8,3,13022,38875527,0.0006139677666922486,7.716936592247102e-08,0.5732447176242894,0.9537414326178578
6,50.8,ann_csgd,38888560,13030,0.6,0.6,45,25,12985,38875505,0.0034535686876438986,6.430780493539252e-07,0.5732447176242894,0.9537414326178578
6,50.8,ann_csgd,38888560,13030,0.5,0.5,108,87,12922,38875443,0.008288564850345357,2.2379116117516597e-06,0.5732447176242894,0.9537414326178578
6,50.8,ann_csgd,38888560,13030,0.4,0.4,211,242,12819,38875288,0.01619339984650806,6.224995517745996e-06,0.5732447176242894,0.9537414326178578
6,50.8,ann_csgd,38888560,13030,0.3,0.3,456,665,12574,38874865,0.034996162701458174,1.710587611281441e-05,0.5732447176242894,0.9537414326178578
6,50.8,ann_csgd,38888560,13030,0.2,0.2,901,2250,12129,38873280,0.0691481197237145,5.787702444185327e-05,0.5732447176242894,0.9537414326178578
6,50.8,ann_csgd,38888560,13030,0.1,0.1,1912,10077,11118,38865453,0.14673829623944742,0.00025921190013358016,0.5732447176242894,0.9537414326178578
6,50.8,ann_csgd,38888560,13030,0.0,0,13030,38875530,0,0,1.0,1.0,0.5732447176242894,0.9537414326178578
6,50.8,gnn_csgd,38888560,13030,,No positive forecasts,0,0,13030,38875530,0.0,0.0,0.5699244642951429,0.9588803484586923
6,50.8,gnn_csgd,38888560,13030,0.9,0.9,0,0,13030,38875530,0.0,0.0,0.5699244642951429,0.9588803484586923
6,50.8,gnn_csgd,38888560,13030,0.8,0.8,0,0,13030,38875530,0.0,0.0,0.5699244642951429,0.9588803484586923
6,50.8,gnn_csgd,38888560,13030,0.7,0.7,0,0,13030,38875530,0.0,0.0,0.5699244642951429,0.9588803484586923
6,50.8,gnn_csgd,38888560,13030,0.6,0.6,0,0,13030,38875530,0.0,0.0,0.5699244642951429,0.9588803484586923
6,50.8,gnn_csgd,38888560,13030,0.5,0.5,40,20,12990,38875510,0.0030698388334612432,5.144624394831402e-07,0.5699244642951429,0.9588803484586923
6,50.8,gnn_csgd,38888560,13030,0.4,0.4,151,152,12879,38875378,0.011588641596316193,3.909914540071865e-06,0.5699244642951429,0.9588803484586923
6,50.8,gnn_csgd,38888560,13030,0.3,0.3,358,507,12672,38875023,0.027475057559478128,1.3041622840897604e-05,0.5699244642951429,0.9588803484586923
6,50.8,gnn_csgd,38888560,13030,0.2,0.2,769,1706,12261,38873824,0.059017651573292404,4.3883646087911856e-05,0.5699244642951429,0.9588803484586923
6,50.8,gnn_csgd,38888560,13030,0.1,0.1,1825,8544,11205,38866986,0.14006139677666923,0.00021977835414719747,0.5699244642951429,0.9588803484586923
6,50.8,gnn_csgd,38888560,13030,0.0,0,13030,38875530,0,0,1.0,1.0,0.5699244642951429,0.9588803484586923
12,12.7,raw_hrrr,33987536,798054,,No positive forecasts,0,0,798054,33189482,0.0,0.0,0.71998318783595,0.7199831878359501
