duration_hours,start_forecast_hour,end_forecast_hour,valid_start_utc,valid_end_utc,message_count,variables,grib2,grib2_sha256,sidecar,sidecar_sha256,inventory,inventory_sha256,size_bytes
6,0,6,2026-09-24T12:00:00Z,2026-09-24T18:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f00_f06/hrrr_2026092412_f00_f06_gnncsgd_6h_core.grib2,5d5b5665b27b3982a07daad92edc1eb850ee6712fa3c4590ff60140647f7faf1,6h/f00_f06/hrrr_2026092412_f00_f06_gnncsgd_6h_core.grib2.json,8cd78030569ce8d88c4de57b0b459fa65f53bd5335df5f486128a28986ea0b51,6h/f00_f06/wgrib2_inventory.txt,8fb8e79018fbbdc731c80b28891e02b4a89eab95ca6a852ac67ccde614e6ee7d,219342
6,6,12,2026-09-24T18:00:00Z,2026-09-25T00:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f06_f12/hrrr_2026092412_f06_f12_gnncsgd_6h_core.grib2,c323f0d355781915531dc577492e8b427c530b3d633cde0ce83feadb842b10ea,6h/f06_f12/hrrr_2026092412_f06_f12_gnncsgd_6h_core.grib2.json,833066f4ca8184c3756c4084582a174eb8e62c364f2281ac016d4d6e48ec6dbd,6h/f06_f12/wgrib2_inventory.txt,d134a394077eb4a58e541934817be765aa864b79758c00b1c7884866afb4758b,219342
6,12,18,2026-09-25T00:00:00Z,2026-09-25T06:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f12_f18/hrrr_2026092412_f12_f18_gnncsgd_6h_core.grib2,a39703de195c0907522c5c5a4c6b41dcd51705bebb84199e01f497186b076cde,6h/f12_f18/hrrr_2026092412_f12_f18_gnncsgd_6h_core.grib2.json,1996442524d65f53a8ade36d2d595460d9280ccef1d9b964f2f99956c60bcb64,6h/f12_f18/wgrib2_inventory.txt,c58f70ed9ecdee6a13b6f9c158be0721c590b9a2e26ea1737b369bfa8cc42fa0,219342
6,18,24,2026-09-25T06:00:00Z,2026-09-25T12:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f18_f24/hrrr_2026092412_f18_f24_gnncsgd_6h_core.grib2,cefd52f1e4b3bf466d09382a0e8264664c2b07b2fc9a40af1e15291d736f1715,6h/f18_f24/hrrr_2026092412_f18_f24_gnncsgd_6h_core.grib2.json,4f03e2e038139835bc87bf499f3ec74b4add1625081f11fef56ac6eb4637dc48,6h/f18_f24/wgrib2_inventory.txt,ecf8bf21e1f08609961d2fc131b677f767a9a394a898ea9865fdc623337dc11b,219342
6,24,30,2026-09-25T12:00:00Z,2026-09-25T18:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f24_f30/hrrr_2026092412_f24_f30_gnncsgd_6h_core.grib2,237ddb3fea9a04411ff2f0998c4b6d9f00a7dcdbf93cbfd5622f4b5200c74a69,6h/f24_f30/hrrr_2026092412_f24_f30_gnncsgd_6h_core.grib2.json,92cf0973c1e5c518c50a534b349efffe0e881e2e69886d48fd2eeab6f2259920,6h/f24_f30/wgrib2_inventory.txt,3ba2adbd81de06ca34d94f469677cfe8cb2af42ed39b39c6524cc33b0563d10d,219342
6,30,36,2026-09-25T18:00:00Z,2026-09-26T00:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f30_f36/hrrr_2026092412_f30_f36_gnncsgd_6h_core.grib2,02e49a041d3ac959c52db67c9a66806654b1d5e5adbb8aae14693670341b19c6,6h/f30_f36/hrrr_2026092412_f30_f36_gnncsgd_6h_core.grib2.json,82cd0768cc676c4babe84090008ef6a9518c8fffe0d365798287f19f3e3c029c,6h/f30_f36/wgrib2_inventory.txt,06795a95d6fab40ff97516bd1966d28629f425be781dc919cfd40dbe63411125,219342
6,36,42,2026-09-26T00:00:00Z,2026-09-26T06:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f36_f42/hrrr_2026092412_f36_f42_gnncsgd_6h_core.grib2,e1a3016ef1dedbc7f848127ff381f09eb6885952045529d0d08db6143be883c7,6h/f36_f42/hrrr_2026092412_f36_f42_gnncsgd_6h_core.grib2.json,fe1ca9da9c38cc00bc6dc33be8ef789ba391240dac579d1162ad2ce4cdedd005,6h/f36_f42/wgrib2_inventory.txt,6cb6e22dac05c151d894627369d1f366df162631c437872a155ed753b3772db3,219342
6,42,48,2026-09-26T06:00:00Z,2026-09-26T12:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f42_f48/hrrr_2026092412_f42_f48_gnncsgd_6h_core.grib2,6174fe266834b87ccc0a2afb54f200d8aae64fcceb0e2f8f3ef00d000580e40a,6h/f42_f48/hrrr_2026092412_f42_f48_gnncsgd_6h_core.grib2.json,a85b4dc6e271729e575d82ef57ab9826a8a57d7bbee1dafe2f4bdc52763c1430,6h/f42_f48/wgrib2_inventory.txt,1d258e914f786a9423e4fe1e2f726dc0faa6c4b0b9ad3337226bfeddaab2c700,219342
12,0,12,2026-09-24T12:00:00Z,2026-09-25T00:00:00Z,5,expected_precip_mm;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent;prob_gt_3inch_percent,12h/f00_f12/hrrr_2026092412_f00_f12_gnncsgd_12h_core.grib2,0946aae9712edb6e2596f46f5187c0e86d91f148a4d9fb285cfe2fe46bbc63a4,12h/f00_f12/hrrr_2026092412_f00_f12_gnncsgd_12h_core.grib2.json,8c81f1384437071d53aef454e1dc39bb090af6b5972fab54bbe5ad7931cc5c61,12h/f00_f12/wgrib2_inventory.txt,d460513321f369bde5087296a1652304dcf3ead0efc97d1809ccec8e49d797ff,219342
12,6,18,2026-09-24T18:00:00Z,2026-09-25T06:00:00Z,5,expected_precip_mm;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent;prob_gt_3inch_percent,12h/f06_f18/hrrr_2026092412_f06_f18_gnncsgd_12h_core.grib2,ed37983285d61671268e0e33888adfce878312484fafe285c20f7ae8a3495783,12h/f06_f18/hrrr_2026092412_f06_f18_gnncsgd_12h_core.grib2.json,d5ddde713116f0c707cb1f95e57a163d3afd9cdb1baa735b870ab64c59640833,12h/f06_f18/wgrib2_inventory.txt,cf30515121a4545e79ac83d300c06b6013b69b6cfef4f6a48ec4edb61d20c103,219342
