duration_hours,start_forecast_hour,end_forecast_hour,valid_start_utc,valid_end_utc,message_count,variables,grib2,grib2_sha256,sidecar,sidecar_sha256,inventory,inventory_sha256,size_bytes
6,0,6,2026-09-25T12:00:00Z,2026-09-25T18:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f00_f06/hrrr_2026092512_f00_f06_gnncsgd_6h_core.grib2,879988aadaeb7c2ee149dc1e9d12b2000ff814f8c8d15c105faa991d256799e2,6h/f00_f06/hrrr_2026092512_f00_f06_gnncsgd_6h_core.grib2.json,77578da6e2178dac51213cd2b8eeadb0c5ada42ea32c786c9a7ad40e1ebcbf99,6h/f00_f06/wgrib2_inventory.txt,63f2e7c61db863dc12bc3ef2b5d82cef1173f1897ac6d8c83991993758adf716,219342
6,6,12,2026-09-25T18:00:00Z,2026-09-26T00:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f06_f12/hrrr_2026092512_f06_f12_gnncsgd_6h_core.grib2,71665b9e15f726f5e4cef890b676b66baf7a38f54cf9ffc54cd2534e95e26f48,6h/f06_f12/hrrr_2026092512_f06_f12_gnncsgd_6h_core.grib2.json,898bd80d25718979dcd0b119a889546c7079f9131e512e613e1f1841bc1f792b,6h/f06_f12/wgrib2_inventory.txt,72b9f55644e64f76cda0fc6b5899ffa2d653a0eb264212d8968125491110ff33,219342
6,12,18,2026-09-26T00:00:00Z,2026-09-26T06:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f12_f18/hrrr_2026092512_f12_f18_gnncsgd_6h_core.grib2,97928096f0f76a851cda07dc229a84d2dfe0e39694b8a5fec047c24915061b80,6h/f12_f18/hrrr_2026092512_f12_f18_gnncsgd_6h_core.grib2.json,ab6cd9b85c4119fc03b4b60ddecc533ade8df857706d8db1157e041ea9a6eee5,6h/f12_f18/wgrib2_inventory.txt,6606c87d3309a6713f98c024bc969378e3c3a39a143f5783bbfd17a30dec29b1,219342
6,18,24,2026-09-26T06:00:00Z,2026-09-26T12:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f18_f24/hrrr_2026092512_f18_f24_gnncsgd_6h_core.grib2,526f21ada1d1708a0c9b628ae6734c58191b553b576015965592ce8d3aa2b754,6h/f18_f24/hrrr_2026092512_f18_f24_gnncsgd_6h_core.grib2.json,1f36bccb3816c9fcaf2d6fdc9ce7ad1f453f132c9020f3d718039157ec992bea,6h/f18_f24/wgrib2_inventory.txt,77200cb50b6a5c988621b21fc73414cbcfad6fcb17ba4122d2acdab87e22bfd6,219342
6,24,30,2026-09-26T12:00:00Z,2026-09-26T18:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f24_f30/hrrr_2026092512_f24_f30_gnncsgd_6h_core.grib2,7440833b1a51af056a19a02925e85bd2fc4fdb2fd3e17fc86b33bcd5e6a0d62a,6h/f24_f30/hrrr_2026092512_f24_f30_gnncsgd_6h_core.grib2.json,a3a57e017599e3aa80e1e766fa9ab2a9d5a5d266e687b0eb2cbe83b5b8ab9946,6h/f24_f30/wgrib2_inventory.txt,d81ae83026cfa347ba96607669957da23f72e6b78f257f6fa6eeee72f5c1a5fd,219342
6,30,36,2026-09-26T18:00:00Z,2026-09-27T00:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f30_f36/hrrr_2026092512_f30_f36_gnncsgd_6h_core.grib2,2aaed26a01d3f3c7669f60cb1d6fb843d19e4d80af573f989c542f8cfe9d981d,6h/f30_f36/hrrr_2026092512_f30_f36_gnncsgd_6h_core.grib2.json,064385d4d32e57f3a7259e5d0417e4f6313ed16326b0bd0ac013e1b7b9140190,6h/f30_f36/wgrib2_inventory.txt,2b6e3e9447c7e4c0c40d9458d6ccc3989c6a0c5728b0dd0847a8102227d596b8,219342
6,36,42,2026-09-27T00:00:00Z,2026-09-27T06:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f36_f42/hrrr_2026092512_f36_f42_gnncsgd_6h_core.grib2,76aee759e737c0da61e889489df17d445f8802c584501be155e949ccc5d66536,6h/f36_f42/hrrr_2026092512_f36_f42_gnncsgd_6h_core.grib2.json,d65a4692a4086f0a72cdba91ffaca74db80c2e80f726366f7201e3b8ae91be30,6h/f36_f42/wgrib2_inventory.txt,bbb55e6e6f33a2abcc13bf9cb3d4d8f2999adc7a0f898fb9354181fcc936c7e4,219342
6,42,48,2026-09-27T06:00:00Z,2026-09-27T12:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f42_f48/hrrr_2026092512_f42_f48_gnncsgd_6h_core.grib2,5fe334c3b55b76e14e1686cb32b7416c33b97d85fd9f83bedf094fce90c363b0,6h/f42_f48/hrrr_2026092512_f42_f48_gnncsgd_6h_core.grib2.json,1cc5da7f5d5a9687834b0bc9bec5ffef6475c9aee94e942b258a8067e66ceb01,6h/f42_f48/wgrib2_inventory.txt,56d0bd0ce610e20a9e75f6a620c0586184c2206de34bc3b29490a3ec5c34b196,219342
12,0,12,2026-09-25T12:00:00Z,2026-09-26T00:00:00Z,5,expected_precip_mm;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent;prob_gt_3inch_percent,12h/f00_f12/hrrr_2026092512_f00_f12_gnncsgd_12h_core.grib2,72511ab003367352bbe4261ba4297fadc4cc7e389931cf0337f272697977e37f,12h/f00_f12/hrrr_2026092512_f00_f12_gnncsgd_12h_core.grib2.json,fc292b5675673e83ef22fbe36c97206da517e5de5930ab1dfc758fb7d069c0e0,12h/f00_f12/wgrib2_inventory.txt,53cc3d7d1f8090c092b58ef0f44bf9a7f64fa6984eabcd6184321524edb3cd7a,219342
12,6,18,2026-09-25T18:00:00Z,2026-09-26T06:00:00Z,5,expected_precip_mm;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent;prob_gt_3inch_percent,12h/f06_f18/hrrr_2026092512_f06_f18_gnncsgd_12h_core.grib2,c70ec9b08b3a50925cdbe59e5b7a67b1749f1753813b58a11c59e6908f2f4447,12h/f06_f18/hrrr_2026092512_f06_f18_gnncsgd_12h_core.grib2.json,7f2a24fe2dc67605417add3aaec6bccf060cb547c6107e5b755b50a1276c36dc,12h/f06_f18/wgrib2_inventory.txt,7786dfcc507952736a3c47654b47080882c50411478b3a4c476a246a6eae74be,219342
12,12,24,2026-09-26T00:00:00Z,2026-09-26T12:00:00Z,5,expected_precip_mm;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent;prob_gt_3inch_percent,12h/f12_f24/hrrr_2026092512_f12_f24_gnncsgd_12h_core.grib2,57417a82a71fb554cd108fc312413bd1613d708a837a3ad6a90d8108517f1c12,12h/f12_f24/hrrr_2026092512_f12_f24_gnncsgd_12h_core.grib2.json,5c65eab17d2435111a05b91df5ab0ab288c512b0421ac086f165b4dc152fd47b,12h/f12_f24/wgrib2_inventory.txt,4ff665e9c0dd16f44652aa5d2e31f0b431adab6c71299e3967cd25862afab70e,219342
