duration_hours,start_forecast_hour,end_forecast_hour,valid_start_utc,valid_end_utc,message_count,variables,grib2,grib2_sha256,sidecar,sidecar_sha256,inventory,inventory_sha256,size_bytes
6,0,6,2026-09-12T12:00:00Z,2026-09-12T18:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f00_f06/hrrr_2026091212_f00_f06_gnncsgd_6h_core.grib2,9c949718c73a6a2f9d6e1b3ff83afe287fed83ad4998121c57a16bd63c48b6a4,6h/f00_f06/hrrr_2026091212_f00_f06_gnncsgd_6h_core.grib2.json,406f79ff1eec0670db748087da877858fca48d97a951e4ecb615ab7dbe748020,6h/f00_f06/wgrib2_inventory.txt,29b578f4ffd451ce3695ab770567f9517fbbacbb74b98d1714e7f12224276a9a,219342
6,6,12,2026-09-12T18:00:00Z,2026-09-13T00:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f06_f12/hrrr_2026091212_f06_f12_gnncsgd_6h_core.grib2,8b87f9e4bc0cf38102f5f571b37cc339c50bde232d635537f6d14be9beeaad04,6h/f06_f12/hrrr_2026091212_f06_f12_gnncsgd_6h_core.grib2.json,15fa2f83776f95437a2950be679116ad0bc90d2a70ae5960a34c0f6e75d4d0d5,6h/f06_f12/wgrib2_inventory.txt,bbd6f2d4a25a669031fbcb19d4f8524def7f50fcc48b9a0b5da0c2941c0dc599,219342
6,12,18,2026-09-13T00:00:00Z,2026-09-13T06:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f12_f18/hrrr_2026091212_f12_f18_gnncsgd_6h_core.grib2,ecba1b4eec367a381028ed204a89ae00ad30b10351f4ab000fe6e9d2d17c4646,6h/f12_f18/hrrr_2026091212_f12_f18_gnncsgd_6h_core.grib2.json,b58d4cdee46fd9a4f7728590c8378f91b3afa9bdddb0b645fc4c6033283263cb,6h/f12_f18/wgrib2_inventory.txt,04f2726dd11a6c2a3e48fcfa64a9b84ccb56fb884b88910affa3c2a0d484d48b,219342
6,18,24,2026-09-13T06:00:00Z,2026-09-13T12:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f18_f24/hrrr_2026091212_f18_f24_gnncsgd_6h_core.grib2,01f2dc0cce821abfe8b67837743905edd0e7b529b7307d0cd8cb7ccf7066c67c,6h/f18_f24/hrrr_2026091212_f18_f24_gnncsgd_6h_core.grib2.json,a8abf9677070dce723203d37fc9f4c8a5a3b1a5d685a00fd406612f5ac4d0f3b,6h/f18_f24/wgrib2_inventory.txt,0261a2885133105520c9e31d0e94d361b4a75b6a92cae49b56b25e8febcab471,219342
6,24,30,2026-09-13T12:00:00Z,2026-09-13T18:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f24_f30/hrrr_2026091212_f24_f30_gnncsgd_6h_core.grib2,d2718af5a1d727f450fdc1d5e8535cd0b5aa76b0164ae98b8cce8202a66de90d,6h/f24_f30/hrrr_2026091212_f24_f30_gnncsgd_6h_core.grib2.json,09c93eaf4de595e551f7f5a4e674480b82b46a12c3c386aa6cf21c94e598f701,6h/f24_f30/wgrib2_inventory.txt,c5c55b4024b23c9781e31ab2959a718991dc15657337081272688acf03e93687,219342
6,30,36,2026-09-13T18:00:00Z,2026-09-14T00:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f30_f36/hrrr_2026091212_f30_f36_gnncsgd_6h_core.grib2,6c68782a435fc0bc9ba7799832e652fa038a6cd954cc29b19fa2a3a3b9057db3,6h/f30_f36/hrrr_2026091212_f30_f36_gnncsgd_6h_core.grib2.json,9d27f182530073d90acea3abadb575637a174cc4316e5e2d0b47591e85d740ef,6h/f30_f36/wgrib2_inventory.txt,f6447a1c515e58adcf9cad6e54b8f31d3df1170dec468f6c092ee721d9eeb456,219342
6,36,42,2026-09-14T00:00:00Z,2026-09-14T06:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f36_f42/hrrr_2026091212_f36_f42_gnncsgd_6h_core.grib2,4f1ac15fba0ea76874e0531ae56c40417406fdbcbba14d756f318db18faeae91,6h/f36_f42/hrrr_2026091212_f36_f42_gnncsgd_6h_core.grib2.json,9885de200b7673d1ed5a8d1701191d557e2bcf498f13f4c3821067410ba259f2,6h/f36_f42/wgrib2_inventory.txt,6ab81db0245c6e29c2529b588ebd050cfb8628c7c1708769466d9b2ef0cecd76,219342
6,42,48,2026-09-14T06:00:00Z,2026-09-14T12:00:00Z,5,expected_precip_mm;prob_gt_0p25inch_percent;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent,6h/f42_f48/hrrr_2026091212_f42_f48_gnncsgd_6h_core.grib2,f53ff50597f60c99510e6fb4b5c5eb173698a9dc7a32f97a8fc73af1fb8da11b,6h/f42_f48/hrrr_2026091212_f42_f48_gnncsgd_6h_core.grib2.json,15aa8a0beccfdb695b25f60857413af8f29c4519a71e273dad98281dc45992a1,6h/f42_f48/wgrib2_inventory.txt,b7249cf71622c0c91cda8dd7e1470464403c21607f0f01b15705ccbec2e96ad5,219342
12,0,12,2026-09-12T12:00:00Z,2026-09-13T00:00:00Z,5,expected_precip_mm;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent;prob_gt_3inch_percent,12h/f00_f12/hrrr_2026091212_f00_f12_gnncsgd_12h_core.grib2,1feb63090cf2e80671e0841f2b8877a41173a3f4a463bbdc98e7a62a87c73a3b,12h/f00_f12/hrrr_2026091212_f00_f12_gnncsgd_12h_core.grib2.json,741fde5dc659cf34eede137a6f516ebc21aa60ac3950cc043124bfc55c030d86,12h/f00_f12/wgrib2_inventory.txt,922d02fa0e00fb70f839e7a8adc128d71a70ee32298c9c26f40bbc131ed45811,219342
12,6,18,2026-09-12T18:00:00Z,2026-09-13T06:00:00Z,5,expected_precip_mm;prob_gt_0p5inch_percent;prob_gt_1inch_percent;prob_gt_2inch_percent;prob_gt_3inch_percent,12h/f06_f18/hrrr_2026091212_f06_f18_gnncsgd_12h_core.grib2,b59a54a0222613b390aeacf3d12ccfbb552b9710d6f86a65265227185e429a3a,12h/f06_f18/hrrr_2026091212_f06_f18_gnncsgd_12h_core.grib2.json,53c6897438a01a7dd6d611176eed9102ed90e24c4466c303df91872105b97e70,12h/f06_f18/wgrib2_inventory.txt,3f556150a8a6e3f35ef3db5f7559bbe94530538bdee0685acca5f9b0699082f3,219342
